genre,Genre_Group
Melodic Rap,Rap/Hip-Hop
Party,Other
Rage Rap,Rap/Hip-Hop
Saxophone,Other
Sexy,Other
Swedish,Other
Trip-Hop,Electronic
Wizkid,Afrobeats
Chamber Pop,Pop
Comedy,Other
Country Pop,Country
Dubstep,Electronic
K-Pop,K-Pop
Metal,Rock/Punk/Metal
Psychedelic Rock,Rock/Punk/Metal
Reggaeton,Reggae
Southern Hip Hop,Rap/Hip-Hop
Acoustic,Acoustic
Awesome,Other
Azonto,Afrobeats
Cardi B,Rap/Hip-Hop
Christian Country,Country
Drill,Rap/Hip-Hop
Glam Metal,Rock/Punk/Metal
New Wave,Rock/Punk/Metal
The Best Song Ever,Other
Uk Drill,Rap/Hip-Hop
Bachata,Latin
Big Sean,Rap/Hip-Hop
Cloud Rap,Rap/Hip-Hop
Country Rock,Country
Kendrick Lamar,Rap/Hip-Hop
Memphis Rap,Rap/Hip-Hop
Pop Rock,Rock/Punk/Metal
Pop-Punk,Rock/Punk/Metal
Alternative Pop,Alternative
Anne-Marie,Pop
Ballad,Pop
Camila,Pop
Eurovision,Pop
Experimental Hip Hop,Rap/Hip-Hop
Favourite,Other
Laïko,Folk
Love,Other
Male,Other
Offset,Other
Spotify Voce Cagou A Tag,Other
Trance,Electronic
Trap Latino,Rap/Hip-Hop
Alternative R&B,R&B
Chance The Rapper,Rap/Hip-Hop
Children,Other
Eminem,Rap/Hip-Hop
Female,Other
Gunna,Rap/Hip-Hop
Lullaby,Chill
Metalcore,Rock/Punk/Metal
My Recommendation,Other
Punk Rock,Rock/Punk/Metal
R&B,R&B
Uk Funky,Funk
Big Band,Other
Boysband,Pop
Christian,Other
Conscious Hip Hop,Rap/Hip-Hop
Don'T Let The Internet Ruin Your Time,Other
Doo-Wop,Other
Jason Isbell,Folk
Jazz Rap,Rap/Hip-Hop
Kanye West,Rap/Hip-Hop
Meek Mill,Other
Salsa,Latin
Big Beat,Rap/Hip-Hop
Flamenco Urbano,Latin
Fortnite,Soundtrack
Norwegian Pop,Pop
Alessia Cara,Pop
Christian Hip Hop,Rap/Hip-Hop
Electronica,Electronic
Folk Rock,Folk
Jeremih,R&B
John Legend,R&B
Melodic Techno,Electronic
Psychedelic Pop,Pop
West Coast Hip Hop,Rap/Hip-Hop
Bedroom Pop,Pop
Beyonce,R&B
Brooklyn Drill,Rap/Hip-Hop
Country Hip Hop,Rap/Hip-Hop
Dream Pop,Pop
Lil Nas X,Rap/Hip-Hop
My Scribbled,Other
One Track Mind,Other
Sampling,Other
Male Vocalists,Other
Punjabi Hip Hop,Rap/Hip-Hop
Rupauls Drag Race,Soundtrack
Snoop Dogg,Rap/Hip-Hop
Zayn,Pop
Adult Contemporary,Other
Canadian,Other
Death Metal,Rock/Punk/Metal
Gekyume,Other
Gorillaz,Electronic
Hardcore Punk,Rock/Punk/Metal
Lil Baby,Rap/Hip-Hop
Mac Miller,Rap/Hip-Hop
My Top Songs,Other
Sheck Wes,Rap/Hip-Hop
Uk Garage,Electronic
A Subtle Use Of Vocal Harmony,Chill
Adult Standards,Other
Electro Corridos,Other
Gangsta Rap,Rap/Hip-Hop
Jamaican,Reggae
Linedance 2020,Country
Peak,Other
Reggae Fusion,Reggae
Slap House,Dance/House
Summer,Other
Youtube Rap,Rap/Hip-Hop
Juice Wrld,Other
Piano,chill
Polo G,Rap/Hip-Hop
Christmas Songs,Christmas
Dark Trap,Rap/Hip-Hop
Dembow,Reggae
Garage,Electronic
Justin Bieber,pop
Mashup,Electronic
Afrobeat,Afrobeats
Breakbeat,Electronic
Corpse,Other
Drag Race,Soundtrack
Drum & Bass,Electronic
Linedance 2021,Country
Progressive Metal,Rock/Punk/Metal
Sea Shanties,Folk
Singer-Songwriter,Pop
Wrong Artist,Other
Bassline,Electronic
Chanson,Folk
Eurovision Song Contest,Pop
Indie Folk,Folk
Pop Urbaine,Pop
Stutter House,Dance/House
We Love Taunt,Other
Bossa Nova,Latin
Euro Dance,Dance/House
French,Other
Gay Anthem,Pop
Hardcore Hip Hop,Rap/Hip-Hop
J Cole,Rap/Hip-Hop
Manele,Folk
Mcdonalds,Other
Remix,Electronic
Teezo Touchdown,Rap/Hip-Hop
Vai Se Fuder,Other
Bolero,Latin
Exotica,Other
Flamenco,Latin
Halloween,Other
Jungle,Electronic
Neoperreo,Reggae
Oh Baby,Other
Overrated,Other
Power Pop,Pop
Tidal My Most Listened,Other
Vocal Harmonies,Chill
Alternative Metal,Rock/Punk/Metal
Guitar,Acoustic
Maroon 5,Pop
Peter,Other
The Weeknd,Pop
